orden_nro,estado,finalizada,entrega,cliente,cuit,fecha_emision,fecha_entrega,deposito_origen,responsable,linea,id_articulo,codigo,articulo,marca,cantidad,cant_entregada,pendiente,um,precio,monto_pendiente,notas,notas_linea
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,18,PU1025TUVEVI5,p5-906807-79,Puma 6807-79 Inv. Sneaker 3P Tu/Ve/Vi 5,Puma,108.0000,0.0000,108.0000,uni,6153.4000,664567.20000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,19,PU595GMM4NE5,q2-7312-892574/02,PUMA 2574-02 Sport 3P Gm/M4/Ne 5,Puma,48.0000,0.0000,48.0000,uni,7179.0000,344592.00000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,20,PU595NENENE5,q3-7312-892574/03,PUMA 2574-03 Sport 3P Ne/Ne/Ne 5,Puma,48.0000,0.0000,48.0000,uni,7179.0000,344592.00000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,21,PU3765NENEGM5,r1-883765/02,PUMA 3765-02 Lifestyle Sock 3P Ne/Ne/Gm 5,Puma,132.0000,0.0000,132.0000,uni,7691.8000,1015317.60000000,,
300042561,Confirmada,False,Pendiente,Antonio Luquin (woker),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,22,PU3765BLBLGM5,r1-883765/03,PUMA 3765-03 Lifestyle Sock 3P Bl/Bl/Gm 5,Puma,120.0000,0.0000,120.0000,uni,7691.8000,923016.00000000,,
300042431,Confirmada,False,Parcial,ATOMIK-ABRIL,,23/04/2026,23/04/2026,Depósito Terminado,soledad,1,SEAT2409BLNE4,,Atomik 2409 Medias Padel Blanco/Negro 4,Atomik,1500.0000,1353.0000,147.0000,par,0.0000,0E-8,,"<Notas>
  <Nota>
    <CUIT />
    <Cliente>ATOMIK-ABRIL</Cliente>
    <Direccion />
    <Telefono />
    <Expreso />
    <DireccionExpreso />
    <Notas />
  </Nota>
</Notas>"
300042431,Confirmada,False,Parcial,ATOMIK-ABRIL,,23/04/2026,23/04/2026,Depósito Terminado,soledad,3,SEAT2409NEBL4,,Atomik 2409 Medias Padel Negro/Blanco 4,Atomik,1500.0000,1396.0000,104.0000,par,0.0000,0E-8,,
300042431,Confirmada,False,Parcial,ATOMIK-ABRIL,,23/04/2026,23/04/2026,Depósito Terminado,soledad,6,SEAT2410BLNE5,,Atomik 2410 Medias Futbol 1P Blanco/Negro 5,Atomik,600.0000,541.0000,59.0000,par,0.0000,0E-8,,
300042431,Confirmada,False,Parcial,ATOMIK-ABRIL,,23/04/2026,23/04/2026,Depósito Terminado,soledad,9,SEAT2410MNBL4,,Atomik 2410 Medias Futbol 1P Marino/Blanco 4,Atomik,300.0000,202.0000,98.0000,par,0.0000,0E-8,,
300042431,Confirmada,False,Parcial,ATOMIK-ABRIL,,23/04/2026,23/04/2026,Depósito Terminado,soledad,11,SEAT2410NEBL3,,Atomik 2410 Medias Futbol 1P Negro/Blanco 3,Atomik,300.0000,81.0000,219.0000,par,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,1,AT2401BLBL4,,Atomik 2401(Atk-Caña)Media Liso x2 Bl/Bl 4,Atomik,3000.0000,25.0000,2975.0000,uni,0.0000,0E-8,,"<Notas>
  <Nota>
    <CUIT />
    <Cliente>ATOMIK-FEBRERO</Cliente>
    <Direccion />
    <Telefono />
    <Expreso />
    <DireccionExpreso />
    <Notas />
  </Nota>
</Notas>"
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,2,AT2401BLBL5,,Atomik 2401(Atk-Caña)Media Liso x2 Bl/Bl 5,Atomik,3500.0000,0.0000,3500.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,3,AT2401NENE4,,Atomik 2401(Atk-Caña)Media Liso x2 Ne/Ne 4,Atomik,3000.0000,0.0000,3000.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,4,AT2401NENE5,,Atomik 2401(Atk-Caña)Media Liso x2 Ne/Ne 5,Atomik,3500.0000,2065.0000,1435.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,5,AT2402BLBLBL4,,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Bl/Bl 4,Atomik,2000.0000,1972.0000,28.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,6,AT2402BLBLBL5,,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Bl/Bl 5,Atomik,2500.0000,2157.0000,343.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,7,AT2402NENENE5,,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Ne/Ne/Ne 5,Atomik,3000.0000,2740.0000,260.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,9,AT2402BLGMNE4,,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Gm/Ne 4,Atomik,4000.0000,3991.0000,9.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,10,AT2402BLGMNE5,,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Gm/Ne 5,Atomik,4000.0000,3830.0000,170.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,11,AT2403BLBLBL4,,Atomik 2403(Atk-1930)Soquete Unisex Invisible x3 Bl/Bl/Bl 4,Atomik,1500.0000,1126.0000,374.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,13,AT2403NENENE5,,Atomik 2403(Atk-1930)Soquete Unisex Invisible x3 Ne/Ne/Ne 5,Atomik,2500.0000,2041.0000,459.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,14,AT2403NENENE4,,Atomik 2403(Atk-1930)Soquete Unisex Invisible x3 Ne/Ne/Ne 4,Atomik,2500.0000,2008.0000,492.0000,uni,0.0000,0E-8,,
300042275,Confirmada,False,Parcial,ATOMIK-FEBRERO,,09/02/2026,09/02/2026,Depósito Terminado,soledad,17,AT2406NENE1,,Atomik 2406(Atk-7374Liso)Soquete Liso x2 Ne/Ne 1,Atomik,1000.0000,998.0000,2.0000,uni,0.0000,0E-8,,
