tipo;codigo_movimiento;nro_comprobante;fecha_comprobante;nro_asiento;id_ejercicio;fecha_asiento;concepto;desc_concepto;n_renglones;total_debe;total_haber;balanceado;importe_comprobante;anulado
OP;106488;0002-00007845;15/07/2026;16311.0;2.0;15/07/2026;7.0;Pago;3;1023035.6700;1023035.6700;Si;0.00;No
OP;106582;0002-00007846;15/07/2026;16312.0;2.0;15/07/2026;7.0;Pago;2;3838371.4200;3838371.4200;Si;0.00;No
OP;107351;0002-00007866;17/07/2026;16313.0;2.0;17/07/2026;7.0;Pago;3;14687363.8500;14687363.8500;Si;0.00;No
OP;10933;0200-00000008;10/07/2025;33759.0;1.0;10/07/2025;7.0;Pago;2;218942.9000;218942.9000;Si;0.00;No
OP;10952;0002-00006099;10/07/2025;33760.0;1.0;10/07/2025;7.0;Pago;2;353920.0000;353920.0000;Si;0.00;No
OP;10953;0002-00006100;10/07/2025;33761.0;1.0;10/07/2025;7.0;Pago;2;2462.0000;2462.0000;Si;0.00;No
OP;10955;0002-00006102;10/07/2025;33762.0;1.0;10/07/2025;7.0;Pago;2;40000.0000;40000.0000;Si;0.00;No
OP;11216;0200-00000018;14/07/2025;33764.0;1.0;14/07/2025;7.0;Pago;2;199460.0000;199460.0000;Si;0.00;No
OP;17401;0002-00006160;11/08/2025;33773.0;1.0;11/08/2025;7.0;Pago;3;319509.5100;319509.5100;Si;0.00;No
OP;17404;0002-00006161;11/08/2025;33775.0;1.0;11/08/2025;7.0;Pago;3;56109.7900;56109.7900;Si;0.00;No
OP;17666;0002-00006172;12/08/2025;33779.0;1.0;12/08/2025;7.0;Pago;2;4643685.9800;4643685.9800;Si;0.00;No
OP;20972;0002-00006206;25/08/2025;33783.0;1.0;25/08/2025;7.0;Pago;2;28883305.0000;28883305.0000;Si;0.00;No
OP;20975;0002-00006207;25/08/2025;33785.0;1.0;25/08/2025;7.0;Pago;2;1120460.0000;1120460.0000;Si;0.00;No
